,Name,Age,Email,Country,Salary,DateOfJoining
77,Phillip Garza,49.0,brandimclean@example.org,Georgia,34326.41,
78,Tabitha Delgado,74.0,lancewilliams@example.net,Sudan,98396.21,2022-04-03
79,Shannon Gonzalez,22.0,jean37@example.net,,64831.97,
80,David Walker,43.0,linda84@example.net,Guinea-Bissau,89683.17,2021-06-20
81,Brandi Long,45.0,vford@example.com,Ecuador,30773.53,2020-06-29
82,Kristi Calderon,80.0,sharon04@example.com,Iceland,99507.66,2022-07-09
83,Kendra Mason,47.0,megancarter@example.com,Moldova,34369.87,2023-07-09
84,Debbie Romero,58.0,nathaniel61@example.net,Reunion,39875.14,2023-02-11
85,Elizabeth Wilkinson,66.0,gailmcdonald@example.org,Turkmenistan,69624.01,2023-05-19
86,David Randall,74.0,cody30@example.net,Niue,43013.14,2024-05-24
87,Nancy Irwin,42.0,juliaweaver@example.net,Czech Republic,29455.0,2020-07-21
88,Joel Martin,76.0,bjacobson@example.com,Korea,invalid,2022-05-23
89,Lauren Jones,68.0,melissadyer@example.com,Malawi,42435.96,2020-06-12
90,invalid,43.0,,Indonesia,41928.2,2020-05-08
91,Ryan Middleton,42.0,mcconnellashley@example.net,Bahamas,78048.75,2021-04-05
92,Seth Bradley,76.0,melissakim@example.org,Slovakia (Slovak Republic),49354.13,2021-08-01
93,Alicia Miller,59.0,thomas45@example.net,Mauritania,52834.29,2020-06-03
94,Cody Jackson,48.0,jamieayers@example.net,Luxembourg,55583.62,2021-05-23
95,Garrett Davidson,56.0,gjames@example.com,Solomon Islands,86227.88,
96,Elizabeth Ross,52.0,richardlewis@example.net,Equatorial Guinea,29992.69,2020-04-08
97,,72.0,brian50@example.com,Somalia,90628.22,2020-04-11
98,Patricia Singh,65.0,lramirez@example.org,Greece,85290.44,2020-03-18
99,Christopher Stokes,42.0,,South Africa,20289.17,2021-09-23
